ID,Area,Year,Income Type,Source,Period Type,State Name,Income,Income Rank,Population
417932,Yellowstone,2019,Per capita income,BEA,Annual,Montana,"$54,069",5,"161,300"
417936,Treasure,2019,Per capita income,BEA,Annual,Montana,"$61,553",2,696
417938,Valley,2019,Per capita income,BEA,Annual,Montana,"$47,831",25,"7,396"
417940,Wheatland,2019,Per capita income,BEA,Annual,Montana,"$40,015",46,"2,126"
417942,Sweet Grass,2019,Per capita income,BEA,Annual,Montana,"$48,591",22,"3,737"
417944,Teton,2019,Per capita income,BEA,Annual,Montana,"$49,840",15,"6,147"
417946,Toole,2019,Per capita income,BEA,Annual,Montana,"$56,222",4,"4,736"
417948,Sheridan,2019,Per capita income,BEA,Annual,Montana,"$49,659",19,"3,309"
417950,Silver Bow,2019,Per capita income,BEA,Annual,Montana,"$49,285",20,"34,915"
417952,Stillwater,2019,Per capita income,BEA,Annual,Montana,"$53,913",6,"9,642"
417954,Roosevelt,2019,Per capita income,BEA,Annual,Montana,"$36,067",52,"11,004"
417956,Rosebud,2019,Per capita income,BEA,Annual,Montana,"$45,929",34,"8,937"
417958,Sanders,2019,Per capita income,BEA,Annual,Montana,"$36,296",51,"12,113"
417960,Prairie,2019,Per capita income,BEA,Annual,Montana,"$49,750",18,"1,077"
417962,Ravalli,2019,Per capita income,BEA,Annual,Montana,"$46,768",31,"43,806"
417964,Richland,2019,Per capita income,BEA,Annual,Montana,"$64,486",1,"10,803"
417966,Pondera,2019,Per capita income,BEA,Annual,Montana,"$47,477",27,"5,911"
417968,Powder River,2019,Per capita income,BEA,Annual,Montana,"$35,063",53,"1,682"
417970,Powell,2019,Per capita income,BEA,Annual,Montana,"$44,111",38,"6,890"
417972,Park,2019,Per capita income,BEA,Annual,Montana,"$51,538",10,"16,606"
417974,Petroleum,2019,Per capita income,BEA,Annual,Montana,"$37,070",49,487
417976,Phillips,2019,Per capita income,BEA,Annual,Montana,"$42,055",40,"3,954"
417979,Missoula,2019,Per capita income,BEA,Annual,Montana,"$51,090",11,"119,600"
417982,Musselshell,2019,Per capita income,BEA,Annual,Montana,"$45,902",35,"4,633"
417985,Madison,2019,Per capita income,BEA,Annual,Montana,"$53,567",7,"8,600"
417987,Meagher,2019,Per capita income,BEA,Annual,Montana,"$46,461",33,"1,862"
417989,Mineral,2019,Per capita income,BEA,Annual,Montana,"$40,547",45,"4,397"
417991,Liberty,2019,Per capita income,BEA,Annual,Montana,"$47,675",26,"2,337"
417993,Lincoln,2019,Per capita income,BEA,Annual,Montana,"$37,155",48,"19,980"
417995,McCone,2019,Per capita income,BEA,Annual,Montana,"$39,913",47,"1,664"
417996,Judith Basin,2019,Per capita income,BEA,Annual,Montana,"$50,997",12,"2,007"
417998,Lake,2019,Per capita income,BEA,Annual,Montana,"$40,754",44,"30,458"
418000,Lewis and Clark,2019,Per capita income,BEA,Annual,Montana,"$50,600",14,"69,432"
418002,Granite,2019,Per capita income,BEA,Annual,Montana,"$44,717",37,"3,379"
418004,Hill,2019,Per capita income,BEA,Annual,Montana,"$47,082",30,"16,484"
418006,Jefferson,2019,Per capita income,BEA,Annual,Montana,"$49,780",17,"12,221"
418008,Garfield,2019,Per capita income,BEA,Annual,Montana,"$33,995",54,"1,258"
418010,Glacier,2019,Per capita income,BEA,Annual,Montana,"$36,484",50,"13,753"
418012,Golden Valley,2019,Per capita income,BEA,Annual,Montana,"$52,862",8,821
418014,Flathead,2019,Per capita income,BEA,Annual,Montana,"$48,866",21,"103,806"
418017,Gallatin,2019,Per capita income,BEA,Annual,Montana,"$58,195",3,"114,434"
418020,Deer Lodge,2019,Per capita income,BEA,Annual,Montana,"$41,454",42,"9,140"
418022,Fallon,2019,Per capita income,BEA,Annual,Montana,"$50,824",13,"2,846"
418024,Fergus,2019,Per capita income,BEA,Annual,Montana,"$46,646",32,"11,050"
418026,Custer,2019,Per capita income,BEA,Annual,Montana,"$47,268",29,"11,402"
418028,Daniels,2019,Per capita income,BEA,Annual,Montana,"$48,385",24,"1,690"
418030,Dawson,2019,Per capita income,BEA,Annual,Montana,"$47,273",28,"8,613"
418033,Cascade,2019,Per capita income,BEA,Annual,Montana,"$49,803",16,"81,366"
418036,Chouteau,2019,Per capita income,BEA,Annual,Montana,"$41,312",43,"5,635"
418039,Broadwater,2019,Per capita income,BEA,Annual,Montana,"$45,211",36,"6,237"
418041,Carbon,2019,Per capita income,BEA,Annual,Montana,"$52,371",9,"10,725"
418043,Carter,2019,Per capita income,BEA,Annual,Montana,"$41,642",41,"1,252"
418045,Beaverhead,2019,Per capita income,BEA,Annual,Montana,"$48,424",23,"9,453"
418047,Big Horn,2019,Per capita income,BEA,Annual,Montana,"$31,887",56,"13,319"
418049,Blaine,2019,Per capita income,BEA,Annual,Montana,"$33,560",55,"6,681"
391371,Wibaux,2018,Per capita income,BEA,Annual,Montana,"$50,940",6,"1,034"
391373,Yellowstone,2018,Per capita income,BEA,Annual,Montana,"$52,340",4,"160,137"
391377,Treasure,2018,Per capita income,BEA,Annual,Montana,"$48,415",14,679
391379,Valley,2018,Per capita income,BEA,Annual,Montana,"$46,911",21,"7,437"
391381,Wheatland,2018,Per capita income,BEA,Annual,Montana,"$35,934",48,"2,236"
391383,Sweet Grass,2018,Per capita income,BEA,Annual,Montana,"$44,455",30,"3,710"
391385,Teton,2018,Per capita income,BEA,Annual,Montana,"$44,369",31,"6,162"
391387,Toole,2018,Per capita income,BEA,Annual,Montana,"$45,481",23,"4,853"
391389,Sheridan,2018,Per capita income,BEA,Annual,Montana,"$52,541",3,"3,424"
391391,Silver Bow,2018,Per capita income,BEA,Annual,Montana,"$48,939",12,"34,993"
